product_url,product_name,image_url,price
https://www.glassesshop.com/eyeglasses/fz1358,Milne Crystal Rectangle Acetate Eyeglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201907/5d1dad7e8b665.jpg",$29.95
https://www.glassesshop.com/eyeglasses/fm1286,Lyndon Black Rectangle Metal Eyeglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201807/5b5fc1d09945c.jpg",$19.95
https://www.glassesshop.com/eyeglasses/fp1746,Murphy Black Browline Ultem Eyeglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201811/5bebc0387547c.jpg",$39.95
https://www.glassesshop.com/eyeglasses/fp2299,Denise Black Cat Eye TR90 Eyeglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202105/60b5d4998f26f.jpg",$24.94
https://www.glassesshop.com/eyeglasses/fp2445,Dinah Black/Golden Cat Eye TR90 Eyeglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202109/614a9ce1a161e.jpg",$24.95
https://www.glassesshop.com/eyeglasses/fz1391,Miami Floral Horn Acetate Eyeglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201910/5d9ffa6c561dc.jpg",$29.95
https://www.glassesshop.com/eyeglasses/fz1658,Kitty Petal Tortoise Cat Eye Acetate Eyeglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202104/606bbf4a231b5.jpg",$29.95
https://www.glassesshop.com/eyeglasses/fp2484,Worcester Black Square TR90 Eyeglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202111/617fad8258758.jpg",$24.95
https://www.glassesshop.com/eyeglasses/fm1405,Toledo Rose Gold Polygon Metal Eyeglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201910/5da92c7eb9fb3.jpg",$24.95
https://www.glassesshop.com/eyeglasses/fp1972,Flushing Crystal Rectangle TR90 Eyeglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202106/60bdd9c8ae6b0.jpg",$12.95
https://www.glassesshop.com/eyeglasses/fp1804,Watertown Brown Rectangle TR90 Eyeglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202105/60b58487603f5.jpg",$19.95
https://www.glassesshop.com/eyeglasses/fz1461,Prairie Petal Tortoise Rectangle Acetate Eyeglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202005/5eb913470af6b.jpg",$34.95
https://www.glassesshop.com/eyeglasses/fz1320,Vogt Multicolor Square Acetate Eyeglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201906/5cf8ca4eb5fb5.jpg",$29.95
https://www.glassesshop.com/eyeglasses/fz1313,Whittier Black/Blue Rectangle Acetate Eyeglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201906/5cf8ca4e9765e.jpg",$29.95
https://www.glassesshop.com/eyeglasses/fm1654,Modesto Rose Gold/White Square Metal Eyeglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202111/617fae5de0604.jpg",$24.95
https://www.glassesshop.com/eyeglasses/fp1438,Prince Tortoise Round Ultem Eyeglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202005/5eb91ab52f793.jpg",$19.95
https://www.glassesshop.com/eyeglasses/sup0821,Walnut Black Aviator Metal Sunglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202004/5e93cdb77d4ef.jpg",$29.95
https://www.glassesshop.com/eyeglasses/fm1553,Amelia Purple Oval Metal Eyeglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202102/603c4e48ab639.jpg",$34.95
